,Unnamed: 0,Turnover ;  Total (State) ;  Food retailing ;,Turnover ;  Total (State) ;  Household goods retailing ;,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;",Turnover ;  Total (State) ;  Department stores ;,Turnover ;  Total (State) ;  Other retailing ;,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;",Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  Total (State) ;  Food retailing ;.1,Turnover ;  Total (State) ;  Household goods retailing ;.1,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;.1",Turnover ;  Total (State) ;  Department stores ;.1,Turnover ;  Total (State) ;  Other retailing ;.1,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.1",Turnover ;  Total (State) ;  Total (Industry) ;.1,Turnover ;  Total (State) ;  Food retailing ;.2,Turnover ;  Total (State) ;  Household goods retailing ;.2,"Turnover ;  Total (State) ;  Clothing, footwear and personal accessory retailing ;.2",Turnover ;  Total (State) ;  Department stores ;.2,Turnover ;  Total (State) ;  Other retailing ;.2,"Turnover ;  Total (State) ;  Cafes, restaurants and takeaway food services ;.2",Turnover ;  Total (State) ;  Total (Industry) ;.2
242,2001-09-01 00:00:00,4606.5,2188.7,985.1,1012.9,1718.8,1437.2,11949.3,4771.1,2273.4,1031.1,1115.2,1797.1,1474.2,12462.2,4766.3,2302.4,1042.1,1140.6,1808.3,1467.8,12529.8
243,2001-10-01 00:00:00,4863.1,2404.9,1079.5,1132,1829.9,1488.5,12797.9,4810.7,2330,1061,1163.3,1814.1,1447.8,12627,4806,2330.1,1055,1151.4,1817,1462.8,12621.3
244,2001-11-01 00:00:00,4941.5,2517.4,1128.2,1344.8,1944.2,1482.9,13359,4839.7,2349,1062.5,1176.3,1827.8,1449.4,12704.7,4847.2,2355.2,1070.9,1163,1828.2,1458.8,12721.9
245,2001-12-01 00:00:00,5543,3113.9,1616.1,2269.5,2589.6,1611.4,16743.5,4875.9,2388,1089.6,1193.6,1844,1459.5,12850.6,4882,2382.3,1087.6,1174.4,1844.7,1457,12827.6
246,2002-01-01 00:00:00,5044.6,2438.8,1072.6,1027.9,1769.9,1482.1,12836,4944.3,2454.1,1110.4,1172.6,1871.7,1465.8,13018.9,4908.8,2415.3,1101.5,1183,1864.3,1458.4,12932.7
247,2002-02-01 00:00:00,4559.4,2123.9,895.5,841.4,1642.5,1329.8,11392.4,4927.7,2416,1115.2,1178.5,1874.9,1462.3,12974.7,4932.1,2450.1,1109.6,1188.5,1884.5,1465.4,13028.5
248,2002-03-01 00:00:00,5098.2,2296.4,1016.1,1043.9,1795,1478.9,12728.5,4952.3,2445.4,1112.8,1184.3,1901.1,1473.5,13069.4,4953.1,2482.8,1110.9,1191.3,1900.8,1472.8,13112.4
249,2002-04-01 00:00:00,4747.6,2336,1058.2,1075.3,1778.3,1460.4,12455.8,4945,2525,1103.8,1189.3,1922.3,1487.2,13172.6,4978.9,2510.3,1107.7,1193.4,1918.8,1483.6,13190.4
250,2002-05-01 00:00:00,5028.5,2478.6,1139.2,1190.9,1898.8,1481.9,13217.9,5026.9,2567.8,1120.3,1240.1,1950,1476.8,13381.9,5005.7,2530.2,1103,1193.7,1931.1,1494.9,13261.2
251,2002-06-01 00:00:00,4716.1,2475,1029.5,1143,1762.1,1424.9,12550.6,5024.1,2566,1077.4,1165.7,1925.5,1513.7,13272.4,5037.9,2543.5,1101.6,1193.7,1941.1,1507.1,13325.7
252,2002-07-01 00:00:00,4971.5,2465.3,1033.3,1075.7,1870.2,1527.3,12943.3,5080,2520.7,1095.2,1200,1927.9,1527.3,13351.1,5068.9,2551.3,1109.6,1196.8,1946.2,1515.8,13388.6
253,2002-08-01 00:00:00,5145.5,2501.2,1050.6,1065.9,1946.9,1551.6,13261.7,5100.5,2546.8,1134.6,1190.5,1975.7,1537.2,13485.3,5104.5,2553.4,1121.3,1205.3,1945.4,1524.9,13452.5
254,2002-09-01 00:00:00,4912.5,2460.6,1079,1060.1,1880.9,1495.1,12888.3,5143.5,2547.4,1136.2,1209.8,1960.4,1528.5,13525.8,5135.6,2551.9,1134.9,1219.3,1946.4,1530.2,13517.1
255,2002-10-01 00:00:00,5283.5,2635.3,1170,1211.4,1942,1556.6,13798.9,5152.8,2543.7,1137.1,1219.5,1916,1505.1,13474.3,5164.5,2550.7,1146.8,1235.8,1945.9,1535.3,13581.8
256,2002-11-01 00:00:00,5300.6,2752.9,1250.2,1495.1,2047.7,1571.9,14418.4,5213.3,2574.9,1178,1303.2,1939.7,1547.3,13756.4,5191.3,2551.9,1155.4,1251.7,1946.6,1544.7,13642.2
257,2002-12-01 00:00:00,5862.1,3366.1,1730.9,2338.6,2769.7,1734,17801.4,5193.3,2570.1,1170.8,1265.3,1953.3,1571.4,13724.1,5218.5,2551.5,1160.2,1263.6,1948.8,1555.6,13698.5
258,2003-01-01 00:00:00,5402.8,2528.5,1108.8,1099.3,1876.5,1620.4,13636.3,5243.3,2533.6,1145.6,1256.1,1976.9,1587.3,13742.8,5234.4,2553.7,1163.6,1270.4,1958.8,1568.6,13750.1
259,2003-02-01 00:00:00,4861,2231.8,925,900.5,1727.3,1421.8,12067.5,5255.7,2546.1,1152.7,1255.3,1971.9,1565,13746.6,5254.5,2561.3,1166.9,1274.1,1967.9,1583.2,13806.4
260,2003-03-01 00:00:00,5280.2,2430.7,1072.8,1092.7,1839.2,1574.2,13289.7,5284.3,2574.8,1167.2,1280.5,1953.9,1583.4,13844.2,5268.6,2578.8,1172.6,1275.8,1981.9,1597.8,13871.5
261,2003-04-01 00:00:00,5171.5,2368.9,1144.4,1222.4,1851.6,1589.1,13347.9,5263.3,2605.7,1208.7,1296.1,2004.1,1617.4,13995.3,5276.4,2605.8,1176.7,1277.5,1997.6,1614.7,13948.8
262,2003-05-01 00:00:00,5316.3,2539.9,1188.2,1237.1,1958.4,1657.4,13897.3,5309.2,2643.1,1171.2,1279.1,2030,1659.9,14092.6,5286.9,2641.8,1180.3,1280.3,2018.8,1636.3,14042.8
263,2003-06-01 00:00:00,4895.4,2595.6,1130.4,1237.9,1870.4,1554.2,13284,5258.7,2678.8,1185,1282.9,2029.5,1640.2,14075.2,5295,2681,1186.8,1285.7,2044.7,1660.9,14158.4
264,2003-07-01 00:00:00,5296.9,2675.1,1130.1,1182,2021.9,1699.4,14005.4,5335.5,2729.5,1190.5,1278.6,2078.5,1692,14304.5,5317.9,2716.1,1193.6,1292.5,2075.2,1692.9,14288.3
265,2003-08-01 00:00:00,5286.8,2665.2,1097.2,1101.2,2045.1,1737.8,13933.3,5335.8,2735,1196.2,1295.6,2101.9,1732,14396.6,5345.8,2744.5,1203.3,1301.1,2106.9,1724.4,14430.2
266,2003-09-01 00:00:00,5192.1,2726.7,1166.3,1198.2,2063.2,1709.4,14055.9,5386.9,2785.7,1209.3,1311.8,2134.2,1750.8,14578.7,5380.3,2765.8,1215,1311,2132.4,1757.5,14576
267,2003-10-01 00:00:00,5583.9,2903.8,1270.2,1316.1,2236.2,1878.4,15188.7,5402.7,2783.4,1232.1,1336.5,2188.8,1790.3,14734,5423.9,2779.1,1229.6,1319.7,2188.2,1791.1,14716.8
268,2003-11-01 00:00:00,5498.8,2948.3,1319.3,1528.2,2322,1838.4,15455,5483.1,2784.6,1252.1,1342.2,2228.9,1825.1,14916,5468.5,2795,1239.3,1324.9,2196.2,1822.5,14839.7
269,2003-12-01 00:00:00,6269.7,3650.5,1854.6,2424.2,3137.1,2048.3,19384.4,5499.6,2781.4,1251.7,1306.7,2199.4,1846.8,14885.7,5513.6,2807.8,1244.7,1326.7,2193.2,1847.8,14934
270,2004-01-01 00:00:00,5769.9,2829.9,1217,1182.9,2039.8,1895.2,14934.7,5587.6,2831.4,1248.8,1324,2165.8,1871.9,15029.5,5552.7,2819.7,1247.6,1328,2187.5,1866.8,15003.9
271,2004-02-01 00:00:00,5311.8,2545.4,1033.1,989.8,1942.6,1765.8,13588.5,5589.1,2825.9,1250.9,1338.3,2151,1883.6,15038.8,5590.4,2830.9,1250,1332,2180.3,1877.9,15062.8
272,2004-03-01 00:00:00,5602.4,2746.3,1130.9,1131.4,2117.1,1872.8,14600.9,5604,2891.5,1227.4,1327.1,2216,1883.2,15149.2,5622.9,2838.7,1248.2,1340.5,2179.7,1882.2,15114.6
273,2004-04-01 00:00:00,5627.7,2569.2,1190.7,1277.1,2013.5,1873.7,14552,5636.9,2819.9,1254.7,1354.5,2169.1,1880.9,15116,5651.9,2844.1,1259.9,1353.2,2186.8,1877.3,15171
274,2004-05-01 00:00:00,5542.3,2675.2,1265.6,1280.3,2075.5,1846.2,14685.1,5677,2827,1272.3,1371.4,2190.5,1870.1,15208.3,5678.8,2848.4,1272.1,1367.9,2200.4,1872.7,15236.8
275,2004-06-01 00:00:00,5406.3,2793.8,1261.2,1384.1,2075,1758.5,14679,5748.8,2855.1,1300.2,1383.1,2222.7,1857,15366.9,5697.4,2857.1,1284.6,1382,2216.6,1868.6,15308.1
276,2004-07-01 00:00:00,5722.7,2843.3,1233.3,1305.9,2171.6,1878.2,15154.9,5691.3,2884.8,1294.1,1395.5,2235.8,1853.9,15355.3,5711,2874.6,1291.3,1391.1,2229.9,1863.3,15375.1
277,2004-08-01 00:00:00,5569.3,2798.1,1185,1166.8,2162.3,1850.1,14731.7,5704.7,2875.3,1290.5,1389.5,2225.3,1862.3,15347.6,5719.8,2896.7,1294.5,1393.7,2244.3,1858.9,15426.5
278,2004-09-01 00:00:00,5622.8,2848,1272.5,1317.9,2221.4,1921.5,15204.1,5740.3,2924.9,1308.5,1408.7,2282.4,1949.1,15613.8,5728.7,2922.5,1294.9,1390.7,2251.5,1849.2,15455.9
279,2004-10-01 00:00:00,5819.7,3078.3,1324.9,1358.3,2273.3,1914.5,15769.1,5702.9,2970.6,1288.5,1392.8,2263.6,1840.1,15458.5,5727.3,2945.3,1295.3,1388.3,2253,1842.9,15470.3
280,2004-11-01 00:00:00,5753.4,3185.1,1349.9,1536.7,2352.9,1839.9,16017.9,5745.3,2976.6,1280.2,1378.3,2232.8,1821.8,15434.9,5732.3,2961.3,1297.5,1389.1,2250.7,1831.9,15473.7
281,2004-12-01 00:00:00,6753.1,3877.3,1915.2,2500.8,3209.8,2041.9,20298.1,5802.4,2940.3,1294.3,1342.1,2232.9,1816.9,15428.9,5732.7,2975.8,1300.7,1391.6,2245.6,1821,15471.7
282,2005-01-01 00:00:00,5710.3,2963.1,1273.7,1246.3,2074.7,1798.7,15066.7,5660,2996.2,1327.3,1417.6,2235.9,1802,15439.1,5745.8,2985.6,1306.9,1394.5,2235.9,1811.6,15472
283,2005-02-01 00:00:00,5336.4,2622.9,1055.6,1037.3,1979.9,1661.2,13693.5,5764.5,3001.2,1309.9,1427.9,2249.4,1830.5,15583.4,5754.4,2992.6,1311.4,1396.6,2232.3,1809,15480.9
284,2005-03-01 00:00:00,5936.5,2782.9,1210.4,1300.8,2117.9,1780.3,15128.9,5767.3,2998.2,1322.9,1434.6,2217.8,1798.3,15539.1,5775.5,3000.8,1318.7,1397.5,2227.6,1811.4,15506.8
285,2005-04-01 00:00:00,5710.9,2787.4,1221.3,1153.7,2060.3,1809,14742.6,5844.8,2994.1,1270.3,1264.5,2221.5,1811.8,15407,5808.4,3010.2,1322,1398.1,2220,1816.6,15550.1
286,2005-05-01 00:00:00,5661,2879.3,1308.9,1264.2,2098.2,1788.9,15000.6,5828,3030.3,1320.4,1385.6,2206.6,1820.4,15591.3,5851.5,3020.4,1323.2,1397.9,2211,1821.1,15601.5
287,2005-06-01 00:00:00,5582.8,2969.3,1310.1,1454.2,2074.5,1768.9,15159.8,5876.9,3031.1,1343.1,1420.7,2213.6,1846.8,15732.3,5899.2,3025.9,1327,1397.4,2197,1828.5,15658.2
288,2005-07-01 00:00:00,5888.5,2964.4,1237.2,1290.1,2090,1869,15339.3,5942.7,3022.2,1310,1401.1,2177.5,1852.1,15705.6,5945.5,3029.4,1328.6,1396.4,2182.5,1839.1,15713.3
289,2005-08-01 00:00:00,5929.6,2984.4,1235.8,1210.7,2125.1,1813.4,15299,6022.5,3053.4,1336,1410,2175.2,1813.5,15810.5,5980.8,3031.6,1331,1392.4,2168,1852.9,15760.4
290,2005-09-01 00:00:00,5931.4,2971,1315.5,1277.8,2094.3,1845.8,15436,6028.7,3028,1344.4,1388.7,2151.2,1862.7,15803.7,6009.2,3033.6,1334.1,1384.3,2160.4,1874.8,15799
291,2005-10-01 00:00:00,6100.1,3099.2,1368.8,1314.4,2142.3,1978.1,16002.8,6029.4,3013.9,1333.4,1356.5,2148,1912.1,15793.2,6033.9,3037.9,1332.3,1374.2,2160.8,1893.7,15833.4
292,2005-11-01 00:00:00,6071.2,3252.9,1400.9,1540.4,2290.4,1965,16520.8,6032.7,3044.2,1329.5,1364.3,2163.7,1937.1,15871.5,6052.7,3045.6,1332.5,1368.2,2169.2,1911.5,15880.4
293,2005-12-01 00:00:00,7083.5,4088.1,1958.3,2536,3136.2,2152.8,20955,6062.3,3081.7,1321.5,1355.6,2188.1,1925.4,15934.5,6080.5,3056.4,1335.4,1370.7,2184.6,1925.4,15953.3
294,2006-01-01 00:00:00,6113.6,3036,1289.2,1193.7,2068.4,1913.8,15614.7,6106.8,3061.3,1347.8,1370.3,2218.6,1938.2,16043.1,6115.7,3070.9,1338.7,1379.3,2204.6,1941.6,16051.8
295,2006-02-01 00:00:00,5704.1,2692.5,1084.3,1037.7,1962.4,1750.1,14231,6166.3,3089.4,1344.7,1425.3,2228.8,1929.3,16183.8,6161.8,3092.7,1344.1,1389.8,2226.4,1955.7,16168.9
296,2006-03-01 00:00:00,6335.1,2953.4,1242.8,1204.5,2149.1,1983.8,15868.7,6234.6,3110.6,1345.1,1382.5,2222.1,1967.7,16262.6,6211.8,3115.3,1350.6,1400.1,2246.1,1971.3,16294.4
297,2006-04-01 00:00:00,6139.3,2804.1,1290.5,1348.6,2070.2,1966.5,15619.2,6251.8,3124.7,1370.5,1429.9,2279.7,2000.5,16457,6257.5,3138.5,1359.7,1405.2,2263.7,1990.2,16412.4
298,2006-05-01 00:00:00,6133.3,3026.2,1349,1267.6,2177.8,2005.1,15959,6289.4,3186.1,1362.1,1376.3,2276.1,2029.7,16519.7,6295.2,3160.6,1369.1,1404,2276.7,2010.2,16517.5
299,2006-06-01 00:00:00,6071.6,3148.2,1346.9,1429,2167.3,1943.6,16106.6,6355.6,3179.7,1378.7,1411.7,2303.6,2016.1,16645.5,6333.2,3187,1380,1398.7,2287.6,2024.8,16610.7
300,2006-07-01 00:00:00,6197.4,3120.4,1304,1412,2161.5,2019.2,16214.5,6352.1,3220.9,1385.4,1404.5,2281.1,2032.7,16676.6,6365.5,3207.3,1392,1393.8,2295.6,2035.9,16692.6
301,2006-08-01 00:00:00,6368.5,3150.1,1324.9,1239.2,2275.9,2043.2,16401.9,6386.5,3200.3,1405.5,1404.3,2308.3,2038.3,16743.3,6400.2,3225.6,1401.9,1393,2302.6,2041.2,16765.9
302,2006-09-01 00:00:00,6296.9,3196.1,1384.2,1219.1,2213.6,2038.7,16348.7,6436.3,3261.8,1419.3,1341.1,2297.2,2060.3,16816,6439.1,3236.6,1409.4,1396.2,2307.3,2046,16835.7
303,2006-10-01 00:00:00,6567.2,3346.8,1464.3,1344.6,2319.4,2113.3,17155.7,6519.1,3256.8,1425.6,1422.3,2311.8,2054.9,16990.5,6480.5,3255.6,1413.7,1404.8,2311.6,2054.1,16917.3
304,2006-11-01 00:00:00,6614.2,3494,1486.1,1623.3,2473.4,2109.4,17800.4,6495.9,3283.5,1407.1,1430.7,2326,2058.2,17001.5,6519.7,3280.7,1418.8,1418.9,2317.6,2066.2,17022.3
305,2006-12-01 00:00:00,7569.8,4301.3,2056.6,2611.1,3306.8,2297.3,22142.8,6551.9,3254.9,1412.2,1442.2,2329.2,2059.3,17049.6,6565.9,3312.1,1421,1434.5,2322.6,2086.5,17142.8
306,2007-01-01 00:00:00,6638.4,3332.3,1354.6,1267.3,2165.5,2097.1,16855.2,6609.7,3348.2,1420.1,1433.5,2307.5,2117.8,17236.7,6611.4,3347.7,1428.1,1449.1,2325.9,2108.3,17266.9
307,2007-02-01 00:00:00,6172.9,2963.4,1165,1047,2044,1939,15331.4,6674.6,3413.7,1442.7,1448.1,2323,2138.3,17440.4,6656.2,3375.5,1435.5,1458.9,2324,2133.3,17384.6
308,2007-03-01 00:00:00,6863,3283.3,1368.3,1331.6,2279.5,2191.9,17317.7,6707.7,3444.8,1465.2,1517.1,2354.8,2174.9,17664.6,6706.9,3392.6,1444.9,1463.8,2322.9,2156.9,17491.7
309,2007-04-01 00:00:00,6600,3010.1,1359.1,1302.6,2108.5,2134,16514.4,6765.9,3379.3,1456.3,1434.5,2329.1,2176.9,17542,6759.4,3408.1,1455.3,1465.9,2328,2177.3,17592.8
310,2007-05-01 00:00:00,6691.7,3239.8,1430.3,1365.1,2228.1,2145.5,17100.4,6793.8,3397.9,1416.8,1459.8,2305.1,2170.2,17543.6,6814.7,3418.6,1464.1,1468.7,2337.5,2191.3,17695
311,2007-06-01 00:00:00,6518,3399,1461.5,1491.5,2180.3,2133.8,17184.1,6863.7,3419.6,1503.3,1480.6,2338.6,2212.2,17818,6877.1,3429.2,1480.8,1472.2,2356.1,2199.8,17805.8
312,2007-07-01 00:00:00,6751.1,3333.5,1427.6,1462.3,2284.2,2178.4,17437,6945.5,3432,1510.8,1471.2,2397,2202.7,17959.1,6931.3,3448.3,1492.2,1477.5,2378.4,2204.4,17933.7
313,2007-08-01 00:00:00,7001.1,3433.6,1406.8,1315.5,2386.6,2257.9,17801.5,6968.9,3476.4,1498.4,1488.4,2414.5,2216,18062.7,6988.6,3473.6,1503.8,1485.7,2408,2208.8,18075.3
314,2007-09-01 00:00:00,6847.4,3443.2,1459.1,1353.3,2321,2179.5,17603.5,7067.4,3544,1498.5,1497.2,2433.2,2218.8,18259.2,7027.3,3500.6,1512.6,1497,2433.8,2211.7,18210.1
315,2007-10-01 00:00:00,7144.7,3591.4,1561.1,1440.6,2535.3,2257.3,18530.4,7068.6,3494.5,1525.2,1507.4,2517,2183.7,18296.6,7063.8,3521.3,1520.3,1508.2,2510.5,2212.2,18316.2
316,2007-11-01 00:00:00,7250,3774.4,1617.8,1687.9,2692.3,2284.6,19307.1,7071.9,3529.7,1533.9,1515,2525.9,2224.8,18401.2,7083.5,3530.5,1521.1,1517.4,2533.2,2211.5,18384.2
317,2007-12-01 00:00:00,8154.3,4684.7,2204.2,2747,3582.4,2461.1,23833.7,7108.2,3550.5,1520,1526.2,2545.4,2222.8,18473.1,7090.9,3530.6,1523.4,1525.4,2548.2,2208.2,18427
318,2008-01-01 00:00:00,7206.3,3535.1,1461.1,1397.8,2437.1,2163.5,18201,7099,3531.8,1512.3,1539.2,2568.1,2184.1,18434.4,7100.7,3527.4,1522.7,1530.5,2559.1,2201.6,18449
319,2008-02-01 00:00:00,6787.8,3142.9,1278.1,1140.5,2355.5,2086.7,16791.4,7064.9,3498,1526.9,1537.5,2572,2208.7,18408.2,7114.4,3523.6,1519.9,1533.9,2569.9,2194.2,18457.1
320,2008-03-01 00:00:00,7315.8,3212.5,1353.9,1351.7,2414.5,2159.4,17807.9,7179.2,3521.7,1503.7,1515.5,2573.8,2179.2,18473,7129.6,3517.8,1516.1,1535,2579.6,2189.7,18465.4
321,2008-04-01 00:00:00,6882.6,3238.4,1486.7,1396.6,2390.5,2148.2,17543,7142.2,3507.3,1541.9,1551.4,2576.6,2179.5,18498.9,7167,3510.2,1514.8,1533.7,2586.5,2185.1,18479
322,2008-05-01 00:00:00,7163.6,3349.2,1541.9,1421.1,2530.9,2176.7,18183.5,7196.2,3503.4,1511.5,1516.8,2609.8,2183.7,18521.5,7208.4,3504,1508.9,1530.6,2588.3,2180.6,18497.4
323,2008-06-01 00:00:00,6761.8,3443.7,1402.5,1401.6,2378.4,2089.9,17477.9,7220.2,3502,1465.9,1429,2585.1,2190.6,18392.9,7249.1,3493.4,1505.9,1525.5,2587.5,2177.8,18519.7
324,2008-07-01 00:00:00,7240.5,3413.8,1460.4,1582.3,2521.7,2172.6,18391.2,7354.7,3493.6,1521.5,1543.3,2588.7,2179.6,18681.5,7295.3,3476.6,1506.9,1519.9,2592.4,2176.3,18544.8
325,2008-08-01 00:00:00,7355.4,3411,1419.4,1268.4,2540,2204,18198.2,7380.2,3457.6,1521.8,1469.7,2600.6,2173.1,18603.1,7339.2,3453.8,1508.9,1514.9,2595,2176.7,18575.1
326,2008-09-01 00:00:00,7095.7,3327.8,1468.3,1383.3,2485.9,2124.2,17885.2,7330.9,3407.3,1512.3,1534.1,2574.7,2161.2,18520.6,7378.3,3432.3,1512.5,1509.8,2605,2181.9,18620.1
327,2008-10-01 00:00:00,7642.8,3530.5,1547.4,1452.4,2668.9,2302.4,19144.5,7446,3431.8,1503.9,1501.3,2621.6,2199.9,18704.6,7482.4,3415.2,1516.5,1504.9,2609.7,2192.9,18690.6
328,2008-11-01 00:00:00,7630.1,3595.6,1594.1,1675.9,2740,2242.8,19478.5,7522.4,3388.5,1525.8,1491.1,2624.9,2208.5,18761.3,7541.7,3411.3,1523.4,1500.8,2629.1,2210.7,18787.7
329,2008-12-01 00:00:00,8784.9,4908.6,2308.7,2886.1,3816.6,2479.4,25184.3,7694.5,3676.6,1593.4,1616.4,2703.8,2245.9,19530.6,7604.1,3416.7,1531,1498.4,2649.9,2235,18905.8
330,2009-01-01 00:00:00,7985.3,3560.7,1543.2,1451,2525.9,2318.3,19384.5,7770.7,3548.6,1587.8,1583.9,2657.4,2317.1,19465.4,7663.2,3431,1540.1,1498,2667,2264.2,19033.4
331,2009-02-01 00:00:00,7151.3,2968.2,1259.1,1056.6,2349.1,2069.5,16853.8,7751.3,3455.1,1563.9,1471.4,2674.2,2296.2,19212.1,7720.5,3450.6,1549.1,1498.3,2684.8,2292.2,19157.3
332,2009-03-01 00:00:00,7832.4,3301.6,1518.6,1386.9,2585.3,2303.2,18927.9,7874.5,3522.6,1661.6,1626.4,2718.1,2315.8,19718.9,7761.2,3470.7,1554.8,1501,2699.3,2317.3,19264.2
333,2009-04-01 00:00:00,7710.6,3203.9,1579.8,1509.1,2519,2326.9,18849.3,7799.7,3563.9,1682,1613,2714.5,2371.2,19744.2,7790.1,3490.7,1563.9,1506.6,2710.7,2340.7,19354.6
334,2009-05-01 00:00:00,7763.2,3379.7,1709.3,1519.4,2624.2,2401.7,19397.5,7897.1,3560.8,1690.1,1631,2742.8,2418.7,19940.4,7805.1,3502.9,1571.1,1513.1,2715.9,2363.5,19426.8
335,2009-06-01 00:00:00,7399.3,3620.6,1568,1500.5,2551.6,2263,18902.9,7912.8,3645.6,1631.2,1527.4,2734.8,2381.3,19833.1,7819.6,3509,1580.9,1522.2,2715.8,2384.1,19490.6
336,2009-07-01 00:00:00,7725.6,3452.3,1514.7,1570.7,2682.3,2415.1,19360.6,7799.5,3529.1,1599.9,1541.7,2731.7,2391,19592.9,7839.3,3512.2,1593.4,1532.2,2712.2,2404.4,19561.2
337,2009-08-01 00:00:00,7807.5,3467.7,1498.2,1341.5,2595.8,2446.1,19156.7,7858.2,3526,1614.4,1558.8,2673.9,2428.4,19659.6,7864.4,3516,1603.1,1542.6,2706.1,2430.2,19650.1
338,2009-09-01 00:00:00,7635.8,3406.1,1537.2,1399.9,2620.5,2430.7,19030.3,7898.6,3475.9,1598.3,1527.2,2694.2,2454.4,19648.6,7896.8,3524,1610.8,1553.5,2708.2,2461.5,19752.8
339,2009-10-01 00:00:00,8109.7,3641.4,1631.4,1534.3,2775.7,2602,20294.6,7860.5,3515.2,1594.9,1581.4,2710.3,2493.2,19755.6,7922.8,3530.9,1611.3,1564,2717.4,2496.1,19848.4
340,2009-11-01 00:00:00,8204,3787.3,1692.5,1736.6,2849.8,2569.9,20840.1,8033.2,3585.1,1660,1586.5,2735.1,2534.5,20134.4,7938.6,3536.1,1618.1,1570.8,2727.7,2528.1,19921.7
341,2009-12-01 00:00:00,9249,4706,2493.6,2795.1,3817.7,2897.1,25958.5,7982.7,3532.8,1591,1535.4,2758,2590.9,19990.8,7948.2,3543.8,1613.1,1572.2,2740.6,2551.9,19969.4
342,2010-01-01 00:00:00,8093.4,3561,1545.9,1469.1,2601.3,2521.3,19792,7956.3,3568.3,1625.9,1604.4,2759.4,2539,20053.3,7946.5,3551,1608.9,1568.3,2752.1,2563.2,19995.2
343,2010-02-01 00:00:00,7243.1,3052.5,1273.6,1111.9,2426.4,2323.9,17431.5,7858.5,3556.7,1590.3,1551.6,2752.3,2582.9,19892.4,7952.2,3557.9,1605.7,1561.6,2758.5,2577.3,20013.7
344,2010-03-01 00:00:00,8017.8,3322.8,1452.3,1379.9,2709.9,2607.5,19490.3,7918.7,3501.7,1597.7,1565.7,2763.6,2590.7,19938.2,7971,3565.3,1607.3,1553.5,2761.3,2590.6,20044.6
345,2010-04-01 00:00:00,7835.6,3213.8,1507.5,1389.7,2549.6,2535.8,19032,8052.2,3607.6,1611.7,1527.3,2764.5,2597.8,20161,7999.4,3569.3,1613,1547.7,2769.6,2608.4,20106.6
346,2010-05-01 00:00:00,7887.6,3360.1,1653.6,1427.2,2633.7,2571.4,19533.6,8066.3,3571.7,1633.1,1533.9,2773.4,2622.3,20200.7,8032.3,3571.4,1624.8,1545.2,2781,2642,20195.7
347,2010-06-01 00:00:00,7527.9,3591.7,1558.6,1551.4,2604.6,2504.9,19339.1,8066,3618.1,1622.6,1553.2,2786,2631.5,20277.3,8057.4,3567.9,1636.3,1545.5,2801,2674.9,20285
348,2010-07-01 00:00:00,8044.4,3480.7,1579,1581,2765.1,2781.3,20231.6,8086.2,3538,1652.7,1551.9,2805.2,2752.3,20386.2,8068,3564.6,1639.4,1546.8,2818.1,2708,20347.1
349,2010-08-01 00:00:00,7924.7,3497.8,1511,1324,2803.4,2800,19860.8,8052.6,3538.2,1645.7,1554.9,2878.5,2772.9,20442.8,8065.3,3563.4,1642.5,1547.8,2834.4,2722,20376.5
350,2010-09-01 00:00:00,7855.4,3476.1,1610.1,1422,2809.9,2742.8,19916.3,8044.1,3541.7,1666.7,1551.2,2868.6,2756.1,20428.4,8066,3568,1634.7,1546.6,2849.1,2716.8,20381
351,2010-10-01 00:00:00,8239.5,3692.1,1594.6,1464.9,2854.1,2730.2,20575.4,8077.5,3582.5,1591.9,1525.3,2836.5,2625.9,20239.6,8086,3571.8,1628,1542.9,2858,2694,20376.8
352,2010-11-01 00:00:00,8288.1,3831,1656.3,1705.5,2998.3,2684.4,21163.7,8113.2,3597.1,1613.3,1555.8,2848.3,2644.3,20371.9,8123.2,3573.6,1613.9,1538.4,2859.9,2671.5,20380.9
353,2010-12-01 00:00:00,9491.8,4839.5,2546.8,2752.4,3947.6,3021.1,26599.2,8124.2,3644.9,1624.5,1516.7,2857.8,2679.2,20447.4,8168.6,3570.1,1605.9,1536.8,2864.5,2655.8,20405.6
354,2011-01-01 00:00:00,8403.6,3458.3,1499,1412.6,2692,2598.2,20063.7,8275.2,3496.1,1575.8,1545.6,2896.3,2645.7,20434.5,8215.7,3571.5,1604.5,1537,2876.3,2645.3,20451.1
355,2011-02-01 00:00:00,7649.6,3065.6,1291.8,1117.5,2563.6,2391.3,18079.3,8297.9,3571.4,1623.7,1562.7,2910.8,2668.8,20635.3,8251.3,3567.5,1610.6,1536.6,2895.3,2642.9,20505.9
356,2011-03-01 00:00:00,8285,3365.1,1478.2,1321.6,2835,2648.9,19933.8,8255.6,3565.6,1616.7,1506.3,2924,2645.5,20513.7,8279.6,3567.4,1615.1,1534.3,2919.3,2645,20559.9
